1	31-01-2000	845097730.000000
1	31-02-2000	1234249583.000000
1	31-03-2000	1662870119.000000
1	31-04-2000	2065792455.000000
1	31-05-2000	2487178869.000000
1	31-06-2000	2896220430.000000
1	01-01-2001	5646836916.000000
1	01-01-2002	10915921713.000000
1	01-01-2003	16282615279.000000
1	01-01-2004	22073945008.000000
1	01-01-2005	27872236955.000000
1	01-01-2006	33569082873.000000
1	01-01-2007	41792530583.000000
1	01-01-2008	47941261539.000000
1	01-01-2009	53382393113.000000
2	31-01-2000	419458290.000000
2	31-02-2000	641548367.000000
2	31-03-2000	895033860.000000
2	31-04-2000	1097146816.000000
2	31-05-2000	1393447560.000000
2	31-06-2000	1630169159.000000
2	01-01-2001	3043575707.000000
2	01-01-2002	5655333902.000000
2	01-01-2003	8384356390.000000
2	01-01-2004	11563103234.000000
2	01-01-2005	14820688481.000000
2	01-01-2006	17388285340.000000
2	01-01-2007	23302154995.000000
2	01-01-2008	26136767315.000000
2	01-01-2009	30315370723.000000
3	31-01-2000	365203275.000000
3	31-02-2000	427682774.000000
3	31-03-2000	584694238.000000
3	31-04-2000	727386538.000000
3	31-05-2000	979908183.000000
3	31-06-2000	1076271792.000000
3	01-01-2001	2137770422.000000
3	01-01-2002	4170469672.000000
3	01-01-2003	6294278792.000000
3	01-01-2004	8956428228.000000
3	01-01-2005	11506974493.000000
3	01-01-2006	14225273710.000000
3	01-01-2007	18297336951.000000
3	01-01-2008	21217572162.000000
3	01-01-2009	23938051648.000000
4	31-01-2000	409438767.000000
4	31-02-2000	409107421.000000
4	31-03-2000	491380148.000000
4	31-04-2000	569408746.000000
4	31-05-2000	695998050.000000
4	31-06-2000	825949746.000000
4	01-01-2001	1679626914.000000
4	01-01-2002	3500081041.000000
4	01-01-2003	5279870506.000000
4	01-01-2004	7634739248.000000
4	01-01-2005	9742224703.000000
4	01-01-2006	11964638771.000000
4	01-01-2007	15532277881.000000
4	01-01-2008	17960988054.000000
4	01-01-2009	20223759641.000000
